customer_tweet_id,customer_text,candidate_intent,similarity,human_intent,difficulty,notes
275129,@115821 Please help! Someone hacked my account and I can’t contact you on your website as they changed the email and I cannot log in!,ACCOUNT_SECURITY,0.6755063533782959,ACCOUNT_SECURITY,EASY,Explicitly hacked; email changed
2135765,"The @116090 app shows that my package was delivered yesterday, yet here I am without said package.",DELIVERY_NOT_RECEIVED,0.767397403717041,DELIVERY_NOT_RECEIVED,EASY,Delivered notification but package not received
1458000,My order from @115821 just was delivered. Opened it and there’s NOTHING IN IT,MISSING_ITEM,0.7051033973693848,MISSING_ITEM,EASY,Order arrived but contents were missing
2513448,@115850 A damaged product was supposed to be collected a few days back. But instead the person hasn't collected it yet. Very disappointed.,PRODUCT_ISSUE,0.5356836915016174,PRODUCT_ISSUE,BOUNDARY,Damaged product; collection issue is secondary
1144950,@AmazonHelp Thanks for the super quick reply! Will this work even if I just want a partial refund?,RANDOM,,REFUND_STATUS,BOUNDARY,Asking about partial refund
2983129,"@116875 tengo una cuenta bloqueada y no hay forma de entrar me aparece contraseña incorrecta, me podrian ayudar",ACCOUNT_ACCESS,0.7973475456237793,ACCOUNT_ACCESS,EASY,Account blocked/password/login issue
1544601,"始めて架空請求にひっかかりそうになった(^-^;
Amazonという名前に安心しきって電話してもうた。
対応が違和感あったので
途中で気づいて電話切ったものの
着歴と名前、都道府県、生年月日まで言ってしまったヾ(ﾟдﾟ;)ちょっと焦る。
皆様もこのSMにはお気をつけ下さい。 https://t.co/Nb1wxHJ4QJ",RANDOM,,ACCOUNT_SECURITY,MESSY,Suspicious call/SMS; security context
2397253,@AmazonHelp so I got a weeks amazon prime and it’s got a convenient error not letting me cancel it,RANDOM,,ORDER_CANCELLATION,EASY,Explicit cancellation problem
1030411,"@115823 I have not received cashback on amazon pay, where I can make complain ?",CASHBACK,0.7202616930007935,CASHBACK,EASY,Cashback not received
2668021,"@AmazonHelp Je ne peux pas me connecter , mon compte est verrouillé ! 
My account is locked !!",ACCOUNT_ACCESS,0.7524394989013672,ACCOUNT_ACCESS,EASY,Account locked
